# Source: BMAS via IFG, answered on 2015-08-19: https://fragdenstaat.de/anfrage/registrierte-domains-in-maschinenlesbarer-form-1/
meinmikrocredit.de,Bundesministerium für Arbeit und Soziales
mein-mikrocredit.de,Bundesministerium für Arbeit und Soziales
meinmikrocredit.eu,Bundesministerium für Arbeit und Soziales
mein-mikrocredit.eu,Bundesministerium für Arbeit und Soziales
mein-mikrokredit.com,Bundesministerium für Arbeit und Soziales
meinmikrokredit.de,Bundesministerium für Arbeit und Soziales
mein-mikrokredit.de,Bundesministerium für Arbeit und Soziales
mein-mikrokredit.eu,Bundesministerium für Arbeit und Soziales
mein-mikrokredit.org,Bundesministerium für Arbeit und Soziales
mindestlohn-gilt.de,Bundesministerium für Arbeit und Soziales
mindestlohn-kommt.de,Bundesministerium für Arbeit und Soziales
mindestlohn-wirkt.de,Bundesministerium für Arbeit und Soziales
mitneuemmut.de,Bundesministerium für Arbeit und Soziales
mit-neuem-mut.de,Bundesministerium für Arbeit und Soziales
mobil.budget.bmas.de,Bundesministerium für Arbeit und Soziales
mobil.einfachteilhaben.de,Bundesministerium für Arbeit und Soziales
mobil.einfach-teilhaben.de,Bundesministerium für Arbeit und Soziales
monitoring-esf.de,Bundesministerium für Arbeit und Soziales
netzwerk-alleinerziehende.de,Bundesministerium für Arbeit und Soziales
netzwerke-alleinerziehende.de,Bundesministerium für Arbeit und Soziales
neuekulturderarbeit.de,Bundesministerium für Arbeit und Soziales
neue-qualitaet-der-arbeit.de,Bundesministerium für Arbeit und Soziales
neues-jobcenter.de,Bundesministerium für Arbeit und Soziales
ohnedichkeinwir.de,Bundesministerium für Arbeit und Soziales
ohne-dich-kein-wir.de,Bundesministerium für Arbeit und Soziales
ombudsrad.de,Bundesministerium für Arbeit und Soziales
ombudsrat.de,Bundesministerium für Arbeit und Soziales
ombudsrat.info,Bundesministerium für Arbeit und Soziales
ombudsrat.net,Bundesministerium für Arbeit und Soziales
ombudsrat.org,Bundesministerium für Arbeit und Soziales
projekt-persoenliches-budget.de,Bundesministerium für Arbeit und Soziales
psyga-check.de,Bundesministerium für Arbeit und Soziales
rentenpaket.de,Bundesministerium für Arbeit und Soziales
renten-paket.de,Bundesministerium für Arbeit und Soziales
rentenreformpaket.de,Bundesministerium für Arbeit und Soziales
selberhandeln.de,Bundesministerium für Arbeit und Soziales
selber-handeln.de,Bundesministerium für Arbeit und Soziales
sgb2.com,Bundesministerium für Arbeit und Soziales
sgb-2.com,Bundesministerium für Arbeit und Soziales
sgb2.eu,Bundesministerium für Arbeit und Soziales
sgb-2.eu,Bundesministerium für Arbeit und Soziales
sgb2.info,Bundesministerium für Arbeit und Soziales
sgb-2.info,Bundesministerium für Arbeit und Soziales
sgb2.net,Bundesministerium für Arbeit und Soziales
sgb-2.net,Bundesministerium für Arbeit und Soziales
sgb2.org,Bundesministerium für Arbeit und Soziales
sgb-2.org,Bundesministerium für Arbeit und Soziales
sgb2-kennzahlen.de,Bundesministerium für Arbeit und Soziales
sgb2-reform.de,Bundesministerium für Arbeit und Soziales
sgbii.com,Bundesministerium für Arbeit und Soziales
sgb-ii.com,Bundesministerium für Arbeit und Soziales
sgbii.eu,Bundesministerium für Arbeit und Soziales
sgb-ii.eu,Bundesministerium für Arbeit und Soziales
sgbii.net,Bundesministerium für Arbeit und Soziales
sgbii.org,Bundesministerium für Arbeit und Soziales
sgbii-kennzahlen.de,Bundesministerium für Arbeit und Soziales
sgbzwei.com,Bundesministerium für Arbeit und Soziales
sgb-zwei.com,Bundesministerium für Arbeit und Soziales
sgbzwei.de,Bundesministerium für Arbeit und Soziales
sgb-zwei.de,Bundesministerium für Arbeit und Soziales
sgbzwei.eu,Bundesministerium für Arbeit und Soziales
sgb-zwei.eu,Bundesministerium für Arbeit und Soziales
sgbzwei.info,Bundesministerium für Arbeit und Soziales
sgb-zwei.info,Bundesministerium für Arbeit und Soziales
sgbzwei.net,Bundesministerium für Arbeit und Soziales
sgb-zwei.net,Bundesministerium für Arbeit und Soziales
sgbzwei.org,Bundesministerium für Arbeit und Soziales
sgb-zwei.org,Bundesministerium für Arbeit und Soziales
sicher-selbständig.de,Bundesministerium für Arbeit und Soziales
sozialbeirat.de,Bundesministerium für Arbeit und Soziales
soziale-entschaedigung.de,Bundesministerium für Arbeit und Soziales
sozialministerium.eu,Bundesministerium für Arbeit und Soziales
sozialpolitische-informationen.de,Bundesministerium für Arbeit und Soziales
sozialversicherungswahlen.de,Bundesministerium für Arbeit und Soziales
sozialwahl2011.de,Bundesministerium für Arbeit und Soziales
tagderjobcenter.de,Bundesministerium für Arbeit und Soziales
tag-der-jobcenter.de,Bundesministerium für Arbeit und Soziales
teilzeit-info.de,Bundesministerium für Arbeit und Soziales
the-unseen.org,Bundesministerium für Arbeit und Soziales
tln-mobility.eu,Bundesministerium für Arbeit und Soziales
un-behindertenrechtskonvention.de,Bundesministerium für Arbeit und Soziales
uniohneabi.de,Bundesministerium für Arbeit und Soziales
un-koordinierungsstelle.de,Bundesministerium für Arbeit und Soziales
unsere-rente.com,Bundesministerium für Arbeit und Soziales
unsere-rente.info,Bundesministerium für Arbeit und Soziales
unternehmensservice-demografie.de,Bundesministerium für Arbeit und Soziales
unternehmensservice-demographie.de,Bundesministerium für Arbeit und Soziales
unternehmens-wert-mensch.de,Bundesministerium für Arbeit und Soziales
usd-portal.de,Bundesministerium für Arbeit und Soziales
