Domain Name,Domain Type,Agency,City,State
amt-heider-umland.de,City,Non-Federal Agency,Norderwöhrden,SH
amt-hoernerkirchen.de,City,Non-Federal Agency,Osterhorn,SH
amt-hohner-harde.de,City,Non-Federal Agency,Elsdorf-Westermühlen,SH
amt-horst-herzhorn.de,City,Non-Federal Agency,Borsfleth,SH
amt-huettener-berge.de,City,Non-Federal Agency,Hütten,SH
amt-itzehoe-land.de,City,Non-Federal Agency,Winseldorf,SH
amt-jarmen-tutow.de,City,Non-Federal Agency,Bentzin,MV
amt-jevenstedt.de,City,Non-Federal Agency,Luhnstedt,SH
amt-joachimsthal.de,City,Non-Federal Agency,Friedrichswalde,BB
amt-kellinghusen.de,City,Non-Federal Agency,Mühlenbarbek,SH
amt-kisdorf.de,City,Non-Federal Agency,Hüttblek,SH
amt-krakow-am-see.de,City,Non-Federal Agency,Hoppenrade,MV
amt-krempermarsch.de,City,Non-Federal Agency,Elskop,SH
amt-laage.de,City,Non-Federal Agency,Dolgen am See,MV
amt-landhagen.de,City,Non-Federal Agency,Mesekenhagen,MV
amtlandschaftsylt.de,City,Non-Federal Agency,Wenningstedt-Braderup (Sylt),SH
amt-lauenburgische-seen.de,City,Non-Federal Agency,Giesensdorf,SH
amt-lebus.de,City,Non-Federal Agency,Lebus,BB
amt-leezen.de,City,Non-Federal Agency,Todesfelde,SH
amt-lieberose-oberspreewald.de,City,Non-Federal Agency,Jamlitz,BB
amt-lindow-mark.de,City,Non-Federal Agency,Vielitzsee,BB
amtlubmin.de,City,Non-Federal Agency,Rubenow,MV
amt-ludwigslust-land.de,City,Non-Federal Agency,Bresegard bei Eldena,MV
amt-luetjenburg.de,City,Non-Federal Agency,Kirchnüchel,SH
amt-malchin-am-kummerower-see.de,City,Non-Federal Agency,Faulenrost,MV
amt-malchow.de,City,Non-Federal Agency,Nossentiner Hütte,MV
amt-marne-nordsee.de,City,Non-Federal Agency,Volsemenhusen,SH
amt-mecklenburgische-kleinseenplatte.de,City,Non-Federal Agency,Mirow,MV
amt-mecklenburgische-schweiz.de,City,Non-Federal Agency,Schwasdorf,MV
amtmeyenburg.de,City,Non-Federal Agency,Halenbeck-Rohlsdorf,BB
amt-miltzow.de,City,Non-Federal Agency,Wittenhagen,MV
amt-mittelangeln.de,City,Non-Federal Agency,Mittelangeln,SH
amt-mittelholstein.de,City,Non-Federal Agency,Rade b. Hohenwestedt,SH
amt-moenchgut.de,City,Non-Federal Agency,Thiessow,MV
amt-moorrege.de,City,Non-Federal Agency,Neuendeich,SH
amt-nennhausen.de,City,Non-Federal Agency,Märkisch Luch,BB
amt-neuburg.de,City,Non-Federal Agency,Neuburg,MV
amt-neuhardenberg.de,City,Non-Federal Agency,Neuhardenberg,BB
amt-neuhaus.de,City,Non-Federal Agency,Amt Neuhaus,NI
amtneustrelitz-land.de,City,Non-Federal Agency,Carpin,MV
amtneverin.de,City,Non-Federal Agency,Trollenhagen,MV
amt-niemegk.de,City,Non-Federal Agency,Niemegk,BB
amt-niepars.de,City,Non-Federal Agency,Steinhagen,MV
amt-nord-ruegen.de,City,Non-Federal Agency,Altenkirchen,MV
amt-nordsee-treene.de,City,Non-Federal Agency,Fresendelf,SH
amt-nordstormarn.de,City,Non-Federal Agency,Heidekamp,SH
amt-nortorfer-land.de,City,Non-Federal Agency,Timmaspe,SH
amt-oder-welse.de,City,Non-Federal Agency,Berkholz-Meyenburg,BB
amt-oldenburg-land.de,City,Non-Federal Agency,Neukirchen,SH
amt-ostholstein-mitte.de,City,Non-Federal Agency,Altenkrempe,SH
amt-parchimer-umland.de,City,Non-Federal Agency,Rom,MV
amt-pinnau.de,City,Non-Federal Agency,Prisdorf,SH
amtplau.de,City,Non-Federal Agency,Ganzlin,MV
amtpreetzland.de,City,Non-Federal Agency,Honigsee,SH
amt-probstei.de,City,Non-Federal Agency,Höhndorf,SH
amtputlitz-berge.de,City,Non-Federal Agency,Putlitz,BB
amt-rantzau.de,City,Non-Federal Agency,Bullenkuhlen,SH
